thr,thr1,thr2,variant,n,excess_pct,win_rate,dd_pct,jul_s_pct,jul_b_pct,trim_acc,st1_pct,st2_pct,st25_pct,st3_pct
v25_orig,9.1,5.88,V0_v25,200,5.674469986361804,73.5,-44.935467123968884,-17.07275704601522,-20.761254148229842,54.21003984585916,0.0,0.1830140485312899,98.16795460183577,1.6490313496329372
v25_orig,9.1,5.88,V1_equal,200,5.649157566200303,73.0,-44.93890293072482,-17.068039548989617,-20.761254148229842,54.21003984585916,0.0,0.0,98.35096865036707,1.6490313496329372
v25_orig,9.1,5.88,V2_penN,200,5.6546675808629825,73.0,-44.93749676568614,-17.07140023539154,-20.761254148229842,54.21003984585916,0.0,0.09655172413793103,98.25441692622914,1.6490313496329372
v25_orig,9.1,5.88,V3_eqPenN,200,5.649157566200303,73.0,-44.93890293072482,-17.068039548989617,-20.761254148229842,54.21003984585916,0.0,0.0,98.35096865036707,1.6490313496329372
v25_orig,9.1,5.88,V4_event,200,5.6507121586047235,73.0,-44.93841850078168,-17.068039548989617,-20.761254148229842,54.21003984585916,0.0,0.0034482758620689655,98.347520374505,1.6490313496329372
thr_hi,5.0,3.0,V0_v25,200,5.87027728363487,73.0,-44.56324764696142,-16.83436389856808,-20.761254148229842,54.17396572854551,1.2410707645609582,13.562469621570294,83.73363516078754,1.4628244530812133
thr_hi,5.0,3.0,V1_equal,200,5.629653244389074,72.0,-44.69095200077798,-17.002141214063798,-20.761254148229842,54.20945390973192,0.04827586206896552,6.113227003979754,92.19636233604248,1.6421347979087995
thr_hi,5.0,3.0,V2_penN,200,5.770141800720225,72.5,-44.736739582564354,-17.034509319481693,-20.761254148229842,54.19927581896285,0.6907787128743832,8.1921097340567,89.5439422724015,1.5731692806674202
thr_hi,5.0,3.0,V3_eqPenN,200,5.602986689340228,72.5,-44.83292741453146,-17.040371460119093,-20.761254148229842,54.20945390973192,0.04827586206896552,3.2894799146677056,95.02010942535452,1.6421347979087995
thr_hi,5.0,3.0,V4_event,200,5.749299608139266,73.0,-44.854952510005106,-17.011178730016475,-20.761254148229842,54.21230759687573,0.0034482758620689655,3.619437514448053,94.80739320488453,1.569721004805351
thr_mid,3.0,2.0,V0_v25,200,5.349444371662245,70.5,-45.13434983566515,-17.14598385144952,-20.761254148229842,54.184762557818054,12.546370159859832,26.34943513728409,60.099990939430036,1.0042037634260408
thr_mid,3.0,2.0,V1_equal,200,5.763019969741584,74.0,-44.78665143461516,-16.827442475423002,-20.761254148229842,54.208799872341054,5.8097547817575315,19.047254410431993,73.69051118231548,1.4524796254950063
thr_mid,3.0,2.0,V2_penN,200,5.488670116024343,74.5,-45.249892962355446,-17.015066284745078,-20.761254148229842,54.113315569634736,7.6199869864902405,10.546010845827375,80.39876392149773,1.4352382461846616
thr_mid,3.0,2.0,V3_eqPenN,200,5.762677432882742,73.0,-44.84954510610089,-17.041249867269187,-20.761254148229842,54.19587612601967,3.1170661215642577,9.020112652613363,86.2620657382584,1.6007554875639718
thr_mid,3.0,2.0,V4_event,200,6.273961853007625,73.5,-44.14729772718846,-16.633602329676506,-20.761254148229842,54.20577170668929,2.7743545003995225,25.30765251689435,70.90344439169388,1.0145485910122476
thr_lo,2.0,1.0,V0_v25,200,3.6942068951902356,65.0,-47.429388637637594,-18.20684490120619,-20.761254148229842,54.220793358241956,32.43213564374652,21.960510011529244,44.80340600913982,0.803948335584406
thr_lo,2.0,1.0,V1_equal,200,5.738318551996564,69.5,-45.692873977464735,-17.247481829180998,-20.761254148229842,53.96879191273109,22.337621153960775,36.862785339253364,39.99564517120145,0.803948335584406
thr_lo,2.0,1.0,V2_penN,200,4.666042661643232,68.5,-45.7226217025455,-17.265181872027462,-20.761254148229842,53.99707998085677,15.426201260488817,21.346544071708912,62.07158219428683,1.1556724735154407
thr_lo,2.0,1.0,V3_eqPenN,200,5.636327007167393,72.0,-45.20290478844523,-16.973850750775313,-20.761254148229842,54.04362771629152,11.012208348219536,19.437584913625276,68.17729288532941,1.3729138528257852
thr_lo,2.0,1.0,V4_event,200,3.3922881906819273,65.0,-47.075603250065214,-18.215831806709637,-20.761254148229842,54.39669405094028,21.880555175853804,6.20145184144007,70.90344439169388,1.0145485910122476
