Date,v59_cum_net,v68b_cum_net,v59_cum_gross,v68b_cum_gross,spy_cum,ret_v59_net,ret_v68b_net,ret_v59_gross,ret_v68b_gross,ret_spy,Phase1_status,macro_quadrant,best_factor_v68b,eq_lim59,fi_lim59,ra_lim59,eq_lim68b,fi_lim68b,gld_lim68b,xle_lim68b,pdbc_lim68b,equity_ticker_v68b,BND_def_triggered
2007-01-03,0.9775171065493645,0.9753242953281968,1.0,1.0,1.0,-0.022482893450635477,-0.024675704671803245,0.0,0.0,0.0,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-04,0.9784068409906277,0.9793141875448758,1.0009101983334123,1.004090836489761,1.002122112263699,0.0009101983334123265,0.004090836489760941,0.0009101983334123265,0.004090836489760941,0.002122112263698961,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-05,0.9700712496396587,0.9745543135478815,0.992382888381371,0.9992105376806427,0.9941288673031514,-0.0085195554668539,-0.0048604156434486345,-0.008519555466854012,-0.0048604156434486345,-0.007976318317626574,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-08,0.9722324757307944,0.9762056123835339,0.9945938226726028,1.0009036143768373,0.9987267948907969,0.0022279044883954935,0.0016944143724948457,0.0022279044883954935,0.0016944143724950678,0.004625082058142604,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-09,0.974281130465618,0.9772395683244475,0.9966895964663274,1.001963729403056,0.997877993842166,0.002107165504097841,0.001059157955862533,0.002107165504097841,0.001059157955862311,-0.0008498831241667837,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-10,0.9744686999598537,0.9789247173714999,0.9968814800589304,1.0036915127209987,1.0012025041098886,0.00019252091451882336,0.00172439706871641,0.00019252091451882336,0.00172439706871641,0.0033315799007873625,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-11,0.9764358170950439,0.9823696041854041,0.9988938408882301,1.0072235551712947,1.0055882367407707,0.002018656048440759,0.0035190518257155468,0.002018656048440981,0.0035190518257155468,0.004380465103591691,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-12,0.9836643388855505,0.9867053741366415,1.0062886186799183,1.0116690201022984,1.013227771565529,0.007402966650702947,0.004413583169475821,0.007402966650702947,0.004413583169475821,0.007597080540161061,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-16,0.9826957727286058,0.985774922724947,1.0052977755013637,1.010715028269888,1.011247167406324,-0.0009846510833584343,-0.0009429880854845418,-0.0009846510833585453,-0.0009429880854846528,-0.0019547472096475005,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-17,0.9840911768670844,0.9848237912461797,1.0067252739350274,1.0097398331647078,1.011671564394383,0.0014199757210759945,-0.0009648566390166868,0.0014199757210759945,-0.0009648566390166868,0.0004196768126902839,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-18,0.9797929800720446,0.9793534805298815,1.0023282186137017,1.0041311235872874,1.0082761409166259,-0.004367681466999174,-0.0055546086162034936,-0.004367681466999174,-0.0055546086162033825,-0.003356250780647163,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-19,0.9832767155506472,0.9819385706833433,1.0058920800083122,1.0067816165216317,1.0102568582542084,0.003555583219576164,0.0026395884681629234,0.003555583219576164,0.0026395884681627013,0.001964459196447832,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-22,0.9804829477286136,0.9784711917390058,1.0030340555263717,1.0032265128900024,1.0071444439119166,-0.002841283412746254,-0.003531156681140013,-0.002841283412746365,-0.003531156681140013,-0.003080814860955572,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-23,0.985753180957756,0.9799483935013246,1.0084255041197845,1.0047410878569079,1.010115357223237,0.005375140119827204,0.0015097038878513214,0.005375140119827204,0.0015097038878510993,0.002949838356632206,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-24,0.9896555497343809,0.986003665385612,1.0124176273782717,1.0109495581198678,1.018249997108891,0.0039587686370265995,0.006179174254934194,0.0039587686370265995,0.006179174254934194,0.008053179102252006,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-25,0.984104788794741,0.9783910824712062,1.00673919893702,1.0031443768577275,1.00629553675843,-0.005608780692564874,-0.007720643626034196,-0.005608780692564985,-0.007720643626034196,-0.011740201703317577,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-26,0.9836108297834296,0.9774882632241384,1.0062338788684486,1.0022187162837088,1.0053760347094751,-0.0005019374124947129,-0.0009227590717482137,-0.0005019374124947129,-0.0009227590717482137,-0.000913749505356054,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-29,0.9821806782407901,0.9770712657614525,1.0047708338403285,1.001791168785217,1.0048101296179317,-0.001453981086152134,-0.00042660099192437517,-0.001453981086152023,-0.00042660099192437517,-0.0005628790343177315,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-30,0.9851670914902663,0.9799346367746509,1.0078259345945424,1.0047269830850494,1.0100445501190671,0.003040594582684353,0.002930565162989174,0.0030405945826841307,0.002930565162989396,0.005209362790884464,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-01-31,0.9905975832411735,0.9852527028840559,1.0133813276557206,1.0101795962670224,1.0168352909687166,0.005512254517852977,0.0054269600336904755,0.005512254517852977,0.0054269600336904755,0.00672320923750247,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-02-01,0.9934014433704834,0.9875077431248854,1.0162496765680047,1.0124916890259448,1.0229186256958511,0.0028304734200297332,0.002288793762482033,0.0028304734200297332,0.002288793762481811,0.005982615651881185,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-02-02,0.9904827350662972,0.9881026524394573,1.013263837972822,1.0131016495461753,1.0243333318360255,-0.0029380954936841785,0.0006024350884472618,-0.0029380954936844006,0.0006024350884472618,0.0013830094639366575,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-02-05,0.9908841881449337,0.9884363304439746,1.0136745244722674,1.013443769604207,1.0246163338979684,0.00040531052629555475,0.00033769568748098777,0.0004053105262957768,0.00033769568748098777,0.00027627926686291104,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-02-06,0.9933043886344791,0.9890891783231043,1.0161503895730721,1.0141131345346786,1.024899229855056,0.0024424655459245326,0.0006604855153760081,0.0024424655459243105,0.0006604855153760081,0.0002760994020185592,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
2007-02-07,0.9947665156338613,0.9919753247181654,1.0176461454934402,1.0170723004335347,1.0271628502222392,0.0014719828243106026,0.002917983998120599,0.0014719828243106026,0.002917983998120599,0.002208627249630446,HEALTHY,1,VTI,0.3,0.45,0.25,0.5,0.42,0.05,0.03,0.0,VTI+QQQ,0
