date,trad_avg_pb,em_pb,total_turnover,gem_turnover
2009-12-31,3.906451768440466,,52115.02720483,
2010-01-29,3.595248676989796,,,
2010-02-26,5.204676464022649,,,
2010-03-31,4.6057354915907815,7.654015887025595,44114.92168045,
2010-04-15,3.0303664921465967,,,
2010-04-30,4.254519379476629,6.100617828773169,51929.399999999994,
2010-05-31,3.006796992563515,5.538393645189761,32847.3,
2010-06-30,2.7585563953620933,4.808170515097691,25307.9,110746157568.0
2010-07-28,5.004552352048558,,,
2010-07-30,2.5463620158558666,4.7246891651865015,,
2010-08-31,2.8055691900889963,4.599467140319716,47370.87,124739393024.0
2010-09-30,2.644433358202893,4.09674582233949,44180.05,91289426688.0
2010-10-29,3.774568224193458,4.664028144239227,,
2010-11-30,3.156826101319517,4.763412489006156,82570.1289,164303777792.0
2010-12-31,3.120345474216927,4.622395833333334,49581.7619,98409651456.0
2011-01-28,2.7261851353372215,,,
2011-01-31,2.914187476294124,4.018229166666667,34699.2688,118169327360.0
2011-02-28,3.040368491638245,4.144097222222222,37574.412599999996,126762906112.0
2011-03-31,2.717871788164543,3.599828620394173,63298.893200000006,181116994048.0
2011-04-28,1.8273480662983426,,,
2011-04-29,2.7679465056577643,3.1988003427592115,,
2011-05-31,2.4914216400161613,2.9777206512425023,34072.9243,83781931264.0
2011-06-30,2.680699687640642,2.93765903307888,31386.240299999998,90557846784.0
2011-07-29,2.352937334621438,3.005089058524173,,
2011-08-31,2.16896410199928,3.100508905852417,36973.0121,262694956032.0
2011-09-30,1.9793567418033984,2.4586466165413534,22316.3376,131583700208.0
2011-10-28,2.347257095031576,,,
2011-10-31,2.068535620782077,2.8408521303258145,20682.509299999998,133353573344.0
2011-11-30,1.8411873932715372,2.756892230576441,32554.4219,301078374912.0
2011-12-30,1.6128204808139848,2.4035087719298245,,
2012-01-31,1.734529033726161,2.197530864197531,16627.0001,108963789312.0
2012-02-29,1.882057836838285,2.8382716049382717,33661.98,225351986944.0
2012-03-30,1.857887092276335,2.45679012345679,,
2012-04-27,2.045516804431293,1.802679658952497,,
2012-05-31,2.201998218965242,1.7369062119366625,35137.029,196970822912.0
2012-06-29,1.9781667496880755,1.4348355663824601,,
2012-07-31,1.8598557525361958,2.077972709551657,24966.6,232201888512.0
2012-08-31,1.5761418064077897,2.0331384015594542,24024.1095,236496112896.0
2012-09-28,1.8371630160291221,1.9980506822612085,,
2012-10-31,1.7111946994570661,1.7898832684824904,18248.82,131970152448.0
2012-11-30,1.4886846924300694,1.5175097276264593,17519.25,133029099056.0
2012-12-31,1.9307297886523755,1.8329262335124574,31684.89,225584331008.0
2013-01-31,2.132514292735716,1.9560332193453835,43201.97,337158522368.0
2013-02-28,2.2407545389363754,2.7337567171470445,30272.5,219131422208.0
2013-03-29,1.8560565139519525,2.770884220810943,,
2013-04-26,1.8497774542908503,3.1687226579434826,,
2013-05-31,2.0069081202699652,2.073069798604816,45018.229999999996,469703763712.0
2013-06-28,1.565822559437016,2.6701611949710324,,
2013-07-31,1.7003350175549101,6.261065507806213,41502.6271336,579642576640.0
2013-08-30,1.767133063206629,6.152422340254305,,
2013-09-30,1.7988096629994277,8.652992005168377,46883.29,448143096576.0
2013-10-31,1.7119466000992876,7.849471049018817,43455.30852663,523323746048.0
2013-11-29,1.806722937606691,7.6637325365420335,,
2013-12-31,1.8161599467694765,6.039147040101846,39552.67689849,565661677056.0
2014-01-30,1.6742369204694785,7.642425206874603,,
2014-02-28,1.560148554024235,6.433004455760663,43897.0245,664643755520.0
2014-03-31,1.4468996826231078,6.92071490433824,42218.5457,532924649984.0
2014-04-30,1.5054078440314718,7.440359026848279,34868.745800000004,385801351424.0
2014-05-30,1.4900441879521347,4.519329186678214,,
2014-06-30,1.4136659771467694,8.516814159292034,32304.9245,562933266944.0
2014-07-31,1.569263490201095,7.51150442477876,53315.8048,640113341696.0
2014-08-29,1.5280524410663021,9.097345132743362,,
2014-09-30,1.5712729486770691,10.914782608695651,76524.6519,803942010112.0
2014-10-31,1.6595333338416296,11.478260869565217,65105.3884,666941360384.0
2014-11-28,2.4231593555103395,18.23304347826087,,
2014-12-31,3.6579752273928974,17.99227799227799,181138.0716,1030936991232.0
2015-01-30,3.059008567466769,24.78120978120978,,
2015-02-06,,26.544401544401545,,
2015-02-27,3.3740411202955647,,,
2015-03-31,3.7540545084213384,,208514.3918,2047931855360.0
2015-04-30,4.040339978573651,70.52251344086022,300637.45842714,2469764538368.0
2015-05-29,3.641724082477907,62.40759408602152,,
2015-06-30,2.6524009974719287,37.03986379381201,366612.84010000003,3489014947840.0
2015-07-31,2.1157557137284058,29.06123407503082,281441.1692,2941969505024.0
2015-08-31,1.5582331196068535,19.485704221217635,205192.54411000002,2199730491648.0
2015-09-30,1.5108370163473621,18.290885059224237,116118.196,1594211883008.0
2015-10-30,1.7934225916650053,27.156728178536934,,
2015-11-30,1.911620529745815,28.82924101469168,223272.3267,3551906881536.0
2015-12-31,1.9256674687997914,11.807392053391306,182388.1914,2846936338432.0
2016-01-29,1.399066099175765,8.748317579439455,,
2016-02-29,1.3366872826027258,7.529680344638161,78185.3955,1301502022912.0
2016-03-31,1.6884893876154712,9.899819787978128,133981.1329,2212150562048.0
2016-04-22,,4.876164058096677,,
2016-04-29,1.6269910621178878,,,
2016-05-31,1.6712920028319356,4.914154337192755,90705.8903,1666204576000.0
2016-06-30,1.700211394857404,6.371803335151115,114724.625,2462449041408.0
2016-07-29,1.6918478634249199,5.611205189288482,,
2016-08-31,1.7837109674748668,5.780545908556012,111766.965,1797553808896.0
2016-09-30,1.645275660802912,5.388346236636876,82632.5747,1391152450048.0
2016-10-31,1.7299969284641659,5.4755727292403975,77245.6617,1245629224704.0
2016-11-30,1.8330043008578965,6.100226966594646,136470.2761,2064852692992.0
2016-12-30,1.6438329193545407,4.763691999282627,,
2017-01-26,1.6866719930659257,4.4170231309017955,,
