date,beta_60d,beta_120d,beta_250d,year
2011-01-14,1.3446624541612833,1.3608725799709545,1.409202647878882,2011
2011-01-17,1.3481436156752524,1.364694887159586,1.411344083365341,2011
2011-01-18,1.3290153773409084,1.3440460937370464,1.403067195989898,2011
2011-01-19,1.2531380626659188,1.344418324011431,1.4025155967985992,2011
2011-01-20,1.237852239113616,1.3359868124797651,1.3988585193188547,2011
2011-01-21,1.2254956020875516,1.3254563640131518,1.3953231541131519,2011
2011-01-24,1.2283434509085485,1.3288302329103459,1.3943881083343024,2011
2011-01-25,1.2240556824500528,1.3294653310610807,1.4001001270495623,2011
2011-01-26,1.2330564938141055,1.3292718311670282,1.4022485343085571,2011
2011-01-27,1.2267816301945276,1.324170352566035,1.401894199633445,2011
2011-01-28,1.2421438929031299,1.3288394336363056,1.4036189333729305,2011
2011-01-31,1.2478158006894133,1.3319092971100994,1.4054622222875566,2011
2011-02-01,1.2353723950848459,1.331214532196667,1.4015465214078433,2011
2011-02-09,1.2378596645660775,1.3318656670180171,1.409630659783943,2011
2011-02-10,1.2398271667005158,1.3348917143611827,1.4115182141836382,2011
2011-02-11,1.2391645144857044,1.3286556991414145,1.4080556568897125,2011
2011-02-14,1.2363990618743286,1.3292754674907894,1.4099134169684078,2011
2011-02-15,1.3041163553431137,1.372175322022152,1.4403370697735627,2011
2011-02-16,1.3091313443839183,1.373650138538468,1.4420064429131036,2011
2011-02-17,1.3428474606283263,1.3699417918943193,1.440684982207096,2011
2011-02-18,1.3422688997315209,1.3728491752309573,1.4409051350558546,2011
2011-02-21,1.3464081614172414,1.3692109866826,1.4392197529029258,2011
2011-02-22,1.3473927998076232,1.3713016931665458,1.4380912865084,2011
2011-02-23,1.3558682980100965,1.3747514714878737,1.4452552264006553,2011
2011-02-24,1.3583952587006605,1.3742413996681546,1.4449703455535186,2011
2011-02-25,1.3489573182183106,1.369263178401464,1.4507945779975049,2011
