score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
0,11,0,0,0,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,12.052838672890502,39.47500501384383,-10.915459945012207,0,41.3,2026-01-09,-0.06246973365617425,-0.09200968523002417,-0.04116222760290544
-4,11,0,2,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.43145828519852,22.174111854468904,-50.72837245410627,0,38.72,2026-01-16,-0.031508264462809854,-0.0012913223140494923,-0.00025826446280985405
-4,11,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,29.468474248774047,18.91362436510512,-64.37054307115025,0,37.5,2026-01-23,0.031200000000000117,0.05600000000000005,0.031200000000000117
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,33.65474520050699,38.22521412554815,-51.09070476886537,0,38.67,2026-01-30,0.024049650892164376,0.0010343935867598297,0.003103180760279267
0,11,0,1,2,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,27.681152130803618,50.42446635960535,-17.8773883022178,0,39.6,2026-02-06,-0.022474747474747536,-0.023484848484848442,0.00782828282828274
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,21.391891083656414,41.28359903653258,-7.300884384087593,0,38.71,2026-02-13,-0.0010333247222940045,0.002066649444588009,-0.0007749935417205034
-1,11,0,1,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.965026793491262,42.60511084237388,-16.769870515819743,0,38.75,2026-02-27,0.011612903225806548,0.026064516129032267,0.017806451612903063
1,11,0,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,14.600096096364958,50.29297079322151,-11.74513979912133,0,39.2,2026-03-06,0.014285714285714235,0.014030612244897878,0.005102040816326481
-1,11,0,1,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,12.458238904909203,56.96295444408147,23.77300904584281,0,39.76,2026-03-13,-0.00025150905432591575,-0.008048289738430636,-0.019617706237424537
3,11,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,14.978548483324953,54.930491517425054,43.3624789979385,0,39.75,2026-03-20,-0.007798742138364845,-0.008805031446540879,0.0030188679245282124
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,13.545434258849498,50.72519089765305,14.177228164912968,0,39.44,2026-03-27,-0.001014198782961384,-0.011663286004056861,-0.0015212981744420206
3,11,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,10.941938133829263,49.427868365958645,23.412588850814913,0,39.4,2026-04-03,-0.010659898477157426,0.01192893401015227,-0.03680203045685271
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,11.424223017738898,47.51482307009595,-2.3992549885856618,0,39.21,2026-04-10,0.007906146391226887,0.004335628666156666,-0.033919918388166215
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,12.350159624148032,51.12435176251284,7.596963216232569,0,39.52,2026-04-17,-0.003542510121457454,-0.03846153846153855,-0.059463562753036436
3,11,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,9.92390133772437,47.95796544892582,16.34396808552837,0,39.38,2026-04-24,-0.0350431691213815,-0.038090401218892844,-0.06043676993397673
2,11,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,17.424484469194827,33.218744248848,-43.819112690620265,0,37.94,2026-05-08,-0.007643647865050007,-0.02424881391671041,0.016868740115972614
2,11,1,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,24.290651016034793,30.265375708827776,-48.69871735643267,0,37.65,2026-05-15,-0.01673306772908356,0.009561752988047845,0.04488711819389124
0,11,1,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,31.500940509450018,23.797354599659045,-55.79611475246056,0,37.02,2026-05-22,0.02674230145867096,0.04213938411669349,0.017017828200972307
0,11,0,1,2,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,33.55610979708463,51.48845521719128,-45.926033069471,0,38.01,2026-05-29,0.014996053670086829,0.03499079189686949,-0.04183109707971577
3,11,1,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,27.575476519674996,57.179107022636344,2.458614555889596,0,38.58,2026-06-05,0.01969932607568703,-0.024105754276827374,-0.0220321410057025
5,11,1,0,3,0,[],2.0,动能衰减期,26.988107630318876,64.77292596542705,25.050595065511175,0,39.34,2026-06-12,-0.042958820538891884,-0.074224707676665,-0.0531265887137774
0,11,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,27.506371286803144,30.574264201370738,-32.44861944013414,0,36.0,2026-06-26,0.023055555555555607,0.02444444444444449,0.08888888888888902
