score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.959698216485293,49.52759473375316,15.120302519202522,0,97.01,2026-01-09,-0.011854447995052086,-0.03463560457684778,-0.07411607050819513
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,14.587649433633505,45.504449911748296,-5.8509297430058025,0,95.86,2026-01-16,-0.023054454412685055,-0.05184644272897976,-0.058314208220321295
2,11,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,11.654275496315964,37.86931918114576,-36.66365000556841,0,93.65,2026-01-23,-0.029471436198611922,-0.04089695675387095,0.03352909770421775
0,11,1,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.81815748389293,33.05277126433363,-54.26218838297402,0,90.89,2026-01-30,-0.011772472219166108,-0.006821432500825231,0.07294531851688846
0,11,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,23.032394922642556,38.21550234193528,-58.90937783986126,0,89.82,2026-02-06,0.005010020040080221,0.07759964373190842,0.16477399242930324
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.781302806964366,41.952803349599755,-30.053671088193123,0,90.27,2026-02-13,0.07222776116096163,0.08031461172039434,0.19231195302979942
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.52625710951873,39.901046871433266,-25.53380088191901,0,89.32,2026-02-27,0.048141513658755075,0.11587550380653844,0.17890729959695473
6,11,2,0,2,1,['trend_break'],2.0,动能衰减期,19.565831414925466,52.153319595238685,21.020594209393806,0,93.62,2026-03-06,0.064622943815424,0.10051271095919678,0.05757316812646862
9,11,2,0,5,0,[],1.0,强动能期,25.90275387744816,63.80260762618997,46.71790302587248,0,99.67,2026-03-13,0.03371124711548101,0.0564864051369518,0.04595164041336419
7,11,1,0,5,0,[],2.0,动能衰减期,32.35297503714245,65.03023179103802,56.186070839426876,0,103.03,2026-03-20,0.022032417742405164,-0.039017761816946495,-0.0011647093079686366
9,11,2,0,5,0,[],1.0,强动能期,38.37822558425327,62.22895405307256,55.42834907724505,0,105.3,2026-03-27,-0.059734093067426275,-0.009971509971509973,-0.028110161443494763
5,11,1,0,3,0,[],2.0,动能衰减期,35.65813785132169,46.15663675605937,27.22160288531507,0,99.01,2026-04-03,0.05292394707605297,0.03938996061003941,0.014644985355014573
5,11,1,0,3,0,[],2.0,动能衰减期,29.221040834353843,52.362055639239834,-0.5016343422120692,0,101.67,2026-04-10,0.020753417920723827,-0.021736992229762997,-0.03019573128749886
1,11,0,1,3,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,29.94068278627062,54.63280153709662,20.010990361661626,0,103.78,2026-04-17,-0.041626517633455484,-0.029196376951242997,-0.10040470225476972
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,24.850234676711494,44.95909405001875,-10.698257852075775,0,99.46,2026-04-24,0.01297003820631426,-0.008646692137542766,-0.042630203096722274
0,11,0,1,2,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,23.745851401467405,46.28954392160756,-10.22638255468253,0,100.02,2026-05-08,-0.03719256148770245,-0.06268746250749846,-0.07008598280343925
-4,11,0,2,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.39287241530422,38.28182678489492,-37.44748395493039,0,96.3,2026-05-15,-0.026479750778816147,-0.0012461059190029822,-0.04880581516095539
0,11,1,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.652442447306186,36.11053510559062,-56.80542747533212,0,93.75,2026-05-22,0.025920000000000165,-0.007893333333333308,-0.06570666666666658
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.543597475876732,44.9376877138892,-34.698664838638194,0,96.18,2026-05-29,-0.03295903514244125,-0.04761904761904778,-0.17196922437097117
2,11,1,0,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,12.20357260336448,39.87376016631847,-45.78512601984313,0,93.01,2026-06-05,-0.015159660251585994,-0.058273303945812316,-0.05881088055047845
0,11,1,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.338733919889647,40.64634678134131,-61.719656934113516,0,91.6,2026-06-12,-0.04377729257641916,-0.1305676855895196,-0.05043668122270728
-4,11,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,28.955321159424727,20.425594563681898,-76.97748271438611,0,78.2,2026-06-26,0.13132992327365733,0.15089514066496168,0.17506393861892589
2,11,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,31.474692250156444,51.35530304906559,-56.21048798392254,0,88.47,2026-07-03,0.01729399796541209,0.056516333220300696,0.08251384650163884
3,11,1,0,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,23.76500261388859,54.87084979709861,-16.56563734570472,0,90.0,2026-07-10,0.038555555555555454,0.020999999999999908,0.0004444444444444695
5,11,1,0,3,0,[],2.0,动能衰减期,24.921549009272056,59.43351897427319,21.808216831237758,0,93.47,2026-07-17,-0.01690381940729646,0.02460682571948225,
5,11,1,0,3,0,[],2.0,动能衰减期,26.006208918504875,54.15391777659463,26.750573439714728,0,91.89,2026-07-24,0.04222439873762096,-0.02013276743932957,
6,11,1,0,4,0,[],2.0,动能衰减期,26.934908287963655,61.58618042792541,39.65821445704679,0,95.77,2026-07-31,-0.05983084473217071,,
