,monthly_ret_pct
2024-11-30,-2.608069968789095
2024-12-31,-4.9608504044601265
2025-01-31,-4.077760854953705
2025-02-28,3.830197137793667
2025-03-31,0.4492946271235754
2025-04-30,-3.4883575756103125
2025-05-31,-0.7426873392609834
2025-06-30,7.827357969331716
2025-07-31,6.939392338132988
2025-08-31,16.285265994101692
2025-09-30,5.234085801378452
2025-10-31,-3.399967183757413
2025-11-30,3.963032056746285
2025-12-31,10.683993332742215
2026-01-31,24.406813751334955
2026-02-28,9.3588350742432
2026-03-31,-10.588953568979665
2026-04-30,16.808725778871004
2026-05-31,-3.7051629206172443
2026-06-30,-0.5630488134327982
2026-07-31,-27.807854628034377
2026-08-31,6.774682099355278
