,monthly_ret_pct
2024-11-30,-1.7553573375625686
2024-12-31,-4.075193456384952
2025-01-31,-3.4543007665631342
2025-02-28,4.804442262540931
2025-03-31,1.0665118076375268
2025-04-30,-3.0129968519878036
2025-05-31,0.04782447262241529
2025-06-30,8.437100024357402
2025-07-31,7.562334288344452
2025-08-31,16.95127256441049
2025-09-30,5.908060106570701
2025-10-31,-2.9691652575750127
2025-11-30,4.45356647961721
2025-12-31,11.407184788137204
2026-01-31,25.058295443188804
2026-02-28,9.754550179187094
2026-03-31,-10.066138441789862
2026-04-30,17.65648547272505
2026-05-31,-3.3648043686704376
2026-06-30,0.3424138269119803
2026-07-31,-27.41391128719529
2026-08-31,7.591610325038012
