板块,代码,PB分位10y%,PE分位10y%,PB分位5y%,PE分位5y%,当前PB,当前PE_TTM
券商,600030,43.90813546126898,10.743479953289217,52.84974093264248,10.436713545521837,1.445402,12.508776
券商,601688,29.27209030751265,15.219929933826393,55.662472242783124,27.757216876387865,0.994387,10.096412
券商,601211,26.46944336317633,60.41261191124951,50.33308660251665,85.1221317542561,0.991473,14.741812
券商,600999,23.511093810821333,13.857532113662904,44.337527757216876,14.729829755736493,1.230479,11.490883
券商,000776,48.69599065784352,8.446866485013624,66.09918578830496,4.885270170244263,1.213196,10.678565
券商,601377,10.12066952121448,25.8466329311016,15.988156920799407,35.45521835677276,0.920965,16.61341
券商,601901,2.024133904242896,2.6080186843129622,3.0347890451517396,2.7387120651369354,1.115057,13.716894
券商,601696,19.34657270980141,5.893657911595131,22.35381199111769,6.7357512953367875,1.698042,29.174713
券商,601990,1.9756838905775076,5.623100303951368,2.8867505551443373,8.216136195410808,1.274453,27.506591
券商,000166,2.6469443363176333,7.551576488906189,5.033308660251666,5.625462620281273,1.024442,11.879199
券商,601066,18.83248730964467,7.208121827411168,15.618060695780903,6.069578090303479,2.316813,17.745628
券商,601995,9.390681003584229,2.7240143369175627,9.696521095484826,2.8127313101406366,1.660673,15.053751
保险,601318,18.956792526274814,7.785130400934216,36.04737231680237,14.803849000740193,0.976235,7.486667
保险,601628,20.98092643051771,5.41066562864928,37.30569948186528,10.288675055514434,1.867117,7.715247
保险,601601,9.653561697158427,1.518100428182172,18.35677276091784,2.8867505551443373,0.974069,5.773739
保险,601336,37.60217983651226,2.2966134682755937,68.39378238341969,4.3671354552183566,1.594148,5.337457
保险,601319,26.110219368646337,11.021936864633494,36.12139156180607,15.247964470762398,1.020588,7.648983
创新药,600276,3.0751265083690154,11.210587777345271,5.847520355292376,8.734270910436713,5.641377,44.208393
创新药,603259,33.45,20.75,49.51887490747595,30.717986676535897,4.54994,19.036328
创新药,688235,72.88135593220339,36.79245283018868,72.88135593220339,36.79245283018868,11.995286,125.267913
创新药,688180,49.21608725289707,,53.441894892672096,,6.357566,
创新药,688336,76.94938440492476,1.9508057675996608,79.27461139896373,2.153558052434457,4.241965,12.293295
创新药,688520,96.35627530364373,68.75,96.00296076980015,68.75,224.795548,
创新药,600196,1.44024912417283,4.943557804593227,2.7387120651369354,4.441154700222058,1.262221,17.843165
创新药,300347,7.2012456208641495,35.07201245620864,13.693560325684679,62.47224278312361,2.057844,55.793487
创新药,002821,30.772495755517827,55.39049235993209,53.6639526276832,72.24278312361214,3.067689,49.602853
创新药,688506,43.56894553881808,99.58847736625515,43.56894553881808,99.58847736625515,21.800594,
军工,600893,25.107045543012845,89.7625535227715,6.7357512953367875,80.53293856402665,2.30165,147.049495
军工,000768,5.916699104710004,1.401323472168159,2.6646928201332347,2.6646928201332347,2.605186,52.943121
军工,600760,10.08174386920981,17.665063401836466,3.1088082901554404,17.098445595854923,5.178577,37.866995
军工,002179,0.3892565200467108,57.571039314908525,0.7401924500370096,62.69430051813472,2.897573,37.236695
军工,600862,12.61191124951343,10.442909386428282,2.4426350851221317,19.022945965951145,3.290298,28.239453
军工,601989,61.224489795918366,0.36133694670280037,90.91710758377425,1.3745704467353952,1.357645,46.102368
军工,600150,23.238614246788632,1.4035087719298245,17.542561065877127,1.8823529411764703,1.770352,23.415964
军工,600038,1.2066952121448034,26.7808485792137,2.29459659511473,36.71354552183568,1.250986,45.184975
航空,601111,67.65278318411833,83.02169035153328,38.4900074019245,20.070422535211268,2.91168,64.435629
航空,600115,89.06189178668743,96.14695340501792,79.20059215396003,31.746031746031743,5.858318,83.023251
航空,600029,69.56014013234721,87.15919085312225,42.11695040710585,38.095238095238095,2.566987,30.837955
航空,601021,11.483067341377968,4.501607717041801,3.2568467801628422,7.934131736526946,2.466654,17.529542
航空,603885,17.32191514207863,26.261467889908257,6.809770540340489,10.85899513776337,2.32059,21.151883
航空,600009,1.6348773841961852,47.253942359978254,3.1088082901554404,6.763285024154589,1.424011,28.227574
航空,600004,1.1288439081354613,21.36659436008677,2.146558105107328,4.63258785942492,0.964805,15.249923
造纸,000488,98.36512261580381,93.43065693430657,96.89119170984456,79.21847246891652,14.052935,
造纸,002078,7.862981704943557,43.28532502919424,12.509252405625462,45.15173945225759,1.302844,12.439448
造纸,600567,4.242896068509148,73.16230883078441,8.068097705403405,72.3114956736712,0.571841,
造纸,600966,8.952899961074348,66.26561776955113,8.882309400444116,71.82971014492753,0.879311,41.763157
造纸,603733,13.28358208955224,14.72636815920398,19.76313841598816,21.909696521095483,1.829221,15.601135
造纸,002521,47.489295445698716,29.409401366010446,45.44781643227239,33.43823760818253,0.955147,21.515496
新能源,300750,27.226720647773277,16.295546558704455,29.311621021465584,23.686158401184308,4.821138,21.51663
新能源,002594,36.356558972362784,32.580770727909695,4.219096965210955,47.81643227239083,3.765013,31.695055
新能源,601012,7.707279096924874,37.49406739439962,14.655810510732792,30.708661417322837,1.95037,
新能源,600438,2.6858699883223043,39.39250118652112,4.885270170244263,57.8177727784027,1.504022,
新能源,300274,44.608797197353056,25.61307901907357,10.954848260547742,31.902294596595116,4.404125,17.969217
