date,n_industries,fwd20,fwd60,fwd120,dd_mean,regime
2005-04-08,4,-0.1062196234021191,-0.20079285565879984,-0.08431116887514492,-0.4115804006356647,range
2005-10-28,1,0.043297651382009805,0.17538744208339985,0.24750359482345408,-0.4076072167997633,range
2008-04-02,1,0.1380231864057786,-0.23212144112766753,-0.3798923370955112,-0.403026597970499,bull
2008-09-23,5,-0.21431178383709604,-0.056413498914459036,0.3631339407967687,-0.695883387360133,bear
2009-03-16,15,0.19780623571776357,0.2730909879138499,0.36611318254321706,-0.5344527857542632,bear
2010-05-06,1,-0.023980421592543988,0.1304223744292239,0.2132474823293926,-0.4128551556969522,range
2011-12-14,1,-0.08181973821419108,0.08661343792314513,0.02241210253536896,-0.40922423384241935,bear
2012-06-28,1,-0.039582238147858106,-0.0837723015523919,-0.013217324135563424,-0.40561980098265216,bear
2016-03-02,1,0.08054619488907622,-0.007855939342881202,0.12845408593091823,-0.5558839760918164,range
2016-08-23,2,-0.014664178545245432,0.03842722047853253,0.1287901665499751,-0.41939908751918675,bear
2018-02-09,1,0.11173247260171149,0.1130554721513286,-0.07652754841615372,-0.40590107641966433,range
2018-08-02,1,-0.04013377926421413,-0.13160481690833126,-0.11223246818468369,-0.4355087761626154,range
2019-01-23,3,0.1980390020765536,0.2403640716663832,0.12341099258898643,-0.4073747347370011,bear
2022-04-25,1,0.08740153749981228,0.13592418113055804,0.05547524874888943,-0.40453784530785897,bear
2022-10-17,1,0.018707994128434047,0.009804818342981525,0.056581337305787516,-0.4240865145821523,bear
2023-12-18,1,0.06588470886627684,0.08761096467608032,-0.038986287048106805,-0.40016691580887853,bear
2024-06-11,2,-0.07309742580482526,-0.10142793697900582,0.4038653141846046,-0.4066083648935802,range
