thr,variant,n,excess_pct,win_rate,dd_pct,sharpe_mean,sharpe_med,bh_sharpe_mean,sharpe_gt_bh_pct,trim_acc,st1_pct,st2_pct,st25_pct,st3_pct
v25_orig,V0_v25,200,-7.460005528342925,15.0,-25.025486101012206,1.1099254025934815,1.065524710444906,1.1226029216925357,40.0,44.73998548425712,0.0,0.2891560222085974,98.25105203455016,1.4597919432412332
v25_orig,V1_equal,200,-7.492655844183902,15.0,-25.03680737466219,1.1089000840935872,1.065524710444906,1.1226029216925357,40.5,44.73998548425712,0.0,0.00823045267489712,98.52786237774642,1.4639071695786816
v25_orig,V2_penN,200,-7.465063580505148,15.0,-25.02725029395393,1.1097826521982408,1.065524710444906,1.1226029216925357,40.5,44.73998548425712,0.0,0.2603494378464574,98.27985861891231,1.4597919432412332
v25_orig,V3_eqPenN,200,-7.492655844183902,15.0,-25.03680737466219,1.1089000840935872,1.065524710444906,1.1226029216925357,40.5,44.73998548425712,0.0,0.00823045267489712,98.52786237774642,1.4639071695786816
v25_orig,V4_event,200,-7.4924914761949175,15.0,-25.03680737466219,1.108898679040943,1.065524710444906,1.1226029216925357,40.0,44.73998548425712,0.0,0.00205761316872428,98.5340352172526,1.4639071695786816
thr_hi,V0_v25,200,-8.079603872256728,16.0,-24.805650054498095,1.1034237765730242,1.0816074630614387,1.1226029216925357,39.5,44.69423358325204,2.068869448226369,16.069879454389273,80.64461074636482,1.216640351019541
thr_hi,V1_equal,200,-7.829427396708658,18.0,-24.681099203869927,1.1155556662906716,1.0882828130682425,1.1226029216925357,49.0,44.721647025801644,0.11319444444444446,10.54365727437168,87.91430884505155,1.428839436132312
thr_hi,V2_penN,200,-7.873155831237357,16.5,-24.86307114345947,1.1068209328071086,1.0993478190749355,1.1226029216925357,39.0,44.70103038475156,1.7587294993880263,13.122500982350108,83.84237007577127,1.276399442490602
thr_hi,V3_eqPenN,200,-7.66910529718886,19.5,-24.702896611810846,1.1177417056286871,1.0854984798124132,1.1226029216925357,53.5,44.72315699733366,0.10699588477366256,9.068009759131186,89.39203969362538,1.4329546624697609
thr_hi,V4_event,200,-7.634451216989728,14.000000000000002,-25.031835692698113,1.1047531147169354,1.0667479485498925,1.1226029216925357,36.5,44.740879426901756,0.00205761316872428,2.4053356025742145,96.20491961149924,1.3876871727578264
thr_mid,V0_v25,200,-7.4415423044241615,20.5,-25.694621598843398,1.0785987087968263,1.0330943324695132,1.1226029216925357,39.5,44.33320144246913,15.46738379783264,22.33906831357995,61.24684225223888,0.9467056363485206
thr_mid,V1_equal,200,-7.482934725785246,17.0,-25.34989394522185,1.0890384378961195,1.0086926566126593,1.1226029216925357,38.5,44.1861814805863,10.116577457509452,19.472698608749475,69.20651757131193,1.2042063624291384
thr_mid,V2_penN,200,-7.494340219678714,18.5,-25.6651983782266,1.0835944084949383,1.019201845045088,1.1226029216925357,36.5,44.23814279891085,12.71284616370406,15.901750095125749,70.29436610302089,1.0910376381493028
thr_mid,V3_eqPenN,200,-7.705170460630454,17.0,-25.3792822013037,1.0865499568642014,1.0388790460318207,1.1226029216925357,34.0,44.256995866795165,8.69851739082863,15.515130618610119,74.49563756546763,1.290714425093615
thr_mid,V4_event,200,-8.173607061856607,14.000000000000002,-24.63853303538435,1.102129681451955,1.063365393759023,1.1226029216925357,34.5,44.84364974648226,1.7063531561183813,21.75969727841727,75.57480994052543,0.9591396249389228
thr_lo,V0_v25,200,-5.254704947985744,24.0,-26.645114058952156,1.1030992118030338,1.082606369360689,1.1226029216925357,45.5,44.299406314456576,31.69289910527383,24.670392024906082,42.906871162814724,0.7298377070053702
thr_lo,V1_equal,200,-7.269205483739037,21.0,-26.534263414099364,1.054265350305132,0.9945806788016818,1.1226029216925357,32.0,43.53145975599823,26.388489069181205,34.77640523167175,38.113506947350324,0.721598751796718
thr_lo,V2_penN,200,-6.2534007003178225,22.0,-26.174774036733616,1.0877357992757604,1.0859655760425815,1.1226029216925357,38.0,43.705791622077925,24.2659338508404,23.691868068908185,51.202840331643884,0.8393577486075271
thr_lo,V3_eqPenN,200,-6.914342755390533,17.5,-26.242019315485766,1.0710382299780021,1.0693918550597457,1.1226029216925357,33.5,43.39340985544071,21.792096881333052,25.33337495639188,51.940423325233965,0.934104837041102
thr_lo,V4_event,200,-5.743361254377296,23.0,-25.991524923317954,1.1254381832552098,1.1202484739097527,1.1226029216925357,54.0,45.21758982117868,17.913310952141963,5.552739482393689,75.57480994052543,0.9591396249389228
